,Unnamed: 0,date,event,map,team_1,team_2
8710,8710.0,27/3/22,ESEA Spring 2022 Cash Cup 1 North America,['Nuke'],Strife (6),paiN (16)
8711,8711.0,27/3/22,CBCS Retake Series 2022 Season 1,['Vertigo'],Cruzeiro (10),B4 (16)
8712,8712.0,27/3/22,CBCS Retake Series 2022 Season 1,['Inferno'],B4 (16),Cruzeiro (4)
8713,8713.0,26/3/22,CBCS Retake Series 2022 Season 1,['Overpass'],MIBR Academy (16),Redragon (14)
8714,8714.0,26/3/22,CBCS Retake Series 2022 Season 1,['Mirage'],Redragon (13),MIBR Academy (16)
8715,8715.0,26/3/22,CBCS Retake Series 2022 Season 1,['Dust2'],MIBR Academy (14),Redragon (16)
8716,8716.0,26/3/22,FantasyExpo EU Champions Spring 2022 - BLAST Premier Qualifier,['Dust2'],PACT (6),HEET (16)
8717,8717.0,26/3/22,FantasyExpo EU Champions Spring 2022 - BLAST Premier Qualifier,['Mirage'],fnatic (12),ENCE (16)
8718,8718.0,26/3/22,ESEA Advanced Season 40 Europe,['Inferno'],los kogutos (13),INDE IRAE (16)
8719,8719.0,26/3/22,ESEA Advanced Season 40 Europe,['Mirage'],INDE IRAE (12),los kogutos (16)
8720,8720.0,26/3/22,ESEA Advanced Season 40 Europe,['Ancient'],los kogutos (11),INDE IRAE (16)
8721,8721.0,26/3/22,ESEA Advanced Season 40 Europe,['Nuke'],FAMBIT (16),Entropiq Prague (3)
8722,8722.0,26/3/22,ESEA Advanced Season 40 Europe,['Overpass'],Entropiq Prague (16),FAMBIT (7)
8723,8723.0,26/3/22,ESEA Advanced Season 40 Europe,['Inferno'],FAMBIT (19),Entropiq Prague (16)
8724,8724.0,27/3/22,FantasyExpo EU Champions Spring 2022 - BLAST Premier Qualifier,['Ancient'],ENCE (16),UNGENTIUM (14)
8725,8725.0,27/3/22,ESEA Advanced Season 40 Europe,['Vertigo'],Conquer (9),Anonymo (16)
8726,8726.0,27/3/22,ESEA Advanced Season 40 Europe,['Mirage'],Anonymo (16),Conquer (14)
8727,8727.0,27/3/22,Perfect World Arena Premier League Season 1,['Ancient'],Rare Atom (12),TYLOO (16)
8728,8728.0,27/3/22,Perfect World Arena Premier League Season 1,['Mirage'],TYLOO (19),Rare Atom (17)
8729,8729.0,27/3/22,FantasyExpo EU Champions Spring 2022 - BLAST Premier Qualifier,['Overpass'],HEET (11),Apeks (16)
8730,8730.0,27/3/22,FantasyExpo EU Champions Spring 2022 - BLAST Premier Qualifier,['Nuke'],Apeks (16),HEET (8)
8731,8731.0,27/3/22,Pinnacle Cup III,['Inferno'],GamerLegion (9),BLUEJAYS (16)
8732,8732.0,27/3/22,Pinnacle Cup III,['Mirage'],BLUEJAYS (28),GamerLegion (26)
